physical_gpu,rank,bin_start_s,bin_end_s,mean_sm_active_percent,mean_gpc_clock_mhz
3,6,1.9,2.0,92.17,2120.2243289999997
3,6,2.0,2.1,91.42,2115.242898
3,6,2.1,2.2,92.64,2115.0624719999996
3,6,2.2,2.3,91.45,2133.8292210000004
3,6,2.3,2.4,91.2,2133.8437860000004
3,6,2.4,2.5,91.67,2129.924677
3,6,2.5,2.6,93.64,2110.93593
3,6,2.6,2.7,91.35,2130.2147189999996
3,6,2.7,2.8,92.61,2104.2263580000003
3,6,2.8,2.9,91.42,2147.2980789999997
3,6,2.9,3.0,86.62,2195.347753
3,6,3.0,3.1,93.35,2141.6082410000004
3,6,3.1,3.2,91.36,2139.6715599999998
3,6,3.2,3.3,92.46,2114.2965240000003
3,6,3.3,3.4,91.56,2145.24569
3,6,3.4,3.5,91.39,2132.8642200000004
3,6,3.5,3.6,91.3,2144.0402559999998
3,6,3.6,3.7,92.53,2127.793345
3,6,3.7,3.8,92.91,2119.505523
3,6,3.8,3.9,91.45,2128.5658989999997
3,6,3.9,4.0,92.5,2110.0541149999995
3,6,4.0,4.1,91.55,2141.4704930000003
3,6,4.1,4.2,91.37,2130.457592
3,6,4.2,4.3,91.43,2142.788591
3,6,4.3,4.4,94.08,2104.155757
3,6,4.4,4.5,91.34,2128.8752600000003
3,6,4.5,4.6,92.55,2104.413922
3,6,4.6,4.7,91.63,2129.022821
3,6,4.7,4.8,91.45,2120.898146
3,6,4.8,4.9,91.18,2136.7142089999998
3,6,4.9,5.0,92.76,2118.2763709999995
3,6,5.0,5.1,92.38,2115.290863
3,6,5.1,5.2,91.44,2113.5776029999997
3,6,5.2,5.3,92.67,2109.184707
3,6,5.3,5.4,91.42,2133.2127179999998
3,6,5.4,5.5,91.31,2132.1097400000003
3,6,5.5,5.6,91.52,2132.2536010000003
3,6,5.6,5.7,89.47,2146.537901
3,6,5.7,5.8,91.62,2159.004671
3,6,5.8,5.9,91.31,2147.8300039999995
3,6,5.9,6.0,91.06,2144.9272
3,6,6.0,6.1,91.35,2145.3504060000005
3,6,6.1,6.2,93.92,2110.95368
3,6,6.2,6.3,86.13,2171.9786560000002
3,6,6.3,6.4,92.59,2126.8218269999998
3,6,6.4,6.5,91.19,2148.7155669999997
3,6,6.5,6.6,91.05,2136.149174
3,6,6.6,6.7,91.13,2150.307064
3,6,6.7,6.8,93.98,2105.901919
3,6,6.8,6.9,91.22,2131.565833
3,6,6.9,7.0,92.36,2110.00025
3,6,7.0,7.1,91.21,2137.161333
3,6,7.1,7.2,91.31,2130.2955279999996
3,6,7.2,7.3,91.32,2136.103897
3,6,7.3,7.4,92.63,2118.6342919999997
3,6,7.4,7.5,92.65,2113.302344
3,6,7.5,7.6,91.43,2119.8226569999997
3,6,7.6,7.7,92.62,2107.7414810000005
3,6,7.7,7.8,91.33,2134.882466
3,6,7.8,7.9,91.19,2127.945649
3,6,7.9,8.0,91.51,2128.803138
3,6,8.0,8.1,93.84,2106.487346
3,6,8.1,8.2,91.34,2128.4588529999996
3,6,8.2,8.3,92.36,2098.517022
3,6,8.3,8.4,89.0,2172.6857299999997
3,6,8.4,8.5,88.54,2191.78299
3,6,8.5,8.6,93.81,2129.272225
3,6,8.6,8.7,91.29,2139.0083299999997
3,6,8.7,8.8,92.48,2108.549309
3,6,8.8,8.9,91.27,2147.873586
3,6,8.9,9.0,91.06,2135.765056
3,6,9.0,9.1,91.25,2140.4929359999996
3,6,9.1,9.2,92.87,2123.034871
3,6,9.2,9.3,92.3,2121.1110300000005
3,6,9.3,9.4,91.43,2124.5024319999998
3,6,9.4,9.5,92.25,2113.3165139999996
3,6,9.5,9.6,91.2,2139.9417730000005
3,6,9.6,9.7,91.03,2134.0937179999996
3,6,9.7,9.8,91.36,2132.660934
3,6,9.8,9.9,93.97,2106.4223110000003
3,6,9.9,10.0,89.81,2132.6030210000004
3,6,10.0,10.1,92.45,2106.310073
3,6,10.1,10.2,91.32,2135.753554
3,6,10.2,10.3,91.19,2127.747627
3,6,10.3,10.4,91.19,2138.3375379999998
3,6,10.4,10.5,94.05,2100.210201
3,6,10.5,10.6,91.3,2122.415571
3,6,10.6,10.7,92.42,2097.4098110000004
3,6,10.7,10.8,91.34,2133.873534
3,6,10.8,10.9,91.18,2131.715907
3,6,10.9,11.0,90.94,2139.519658
3,6,11.0,11.1,93.6,2116.8351220000004
3,6,11.1,11.2,32.21,2463.8396390000007
3,6,11.2,11.3,90.51,2438.036558
3,6,11.3,11.4,88.21,2383.0353769999997
3,6,11.4,11.5,90.37,2328.692614
3,6,11.5,11.6,88.75,2318.1601539999997
3,6,11.6,11.7,89.7,2302.5011600000003
3,6,11.7,11.8,89.48,2302.178907
3,6,11.8,11.9,89.01,2305.15357
3,6,11.9,12.0,90.26,2293.761265
3,6,12.0,12.1,88.31,2304.776331
3,6,12.1,12.2,90.58,2284.804052
3,6,12.2,12.3,88.61,2303.917458
3,6,12.3,12.4,90.01,2292.0119150000005
3,6,12.4,12.5,89.35,2300.6818289999997
3,6,12.5,12.6,89.29,2296.882427
3,6,12.6,12.7,90.14,2294.8099789999997
3,6,12.7,12.8,88.54,2299.601737
3,6,12.8,12.9,90.56,2282.753116
3,6,12.9,13.0,88.24,2301.674724
3,6,13.0,13.1,90.31,2286.3732990000003
3,6,13.1,13.2,89.12,2299.6808680000004
3,6,13.2,13.3,89.52,2294.686049
3,6,13.3,13.4,89.89,2296.446383
3,6,13.4,13.5,88.05,2302.550015
3,6,13.5,13.6,60.8,2393.134377
3,6,13.6,13.7,2.0,2589.1713900000004
3,6,13.7,13.8,2.0,2589.986985
3,6,13.8,13.843227,1.7674418604651163,2590.6232279069764
4,1,0.0,0.1,20.11111111111111,2556.1576680606063
4,1,0.1,0.2,0.0,2401.4329649466663
4,1,0.2,0.3,50.63333333333333,2386.524115466667
4,1,0.3,0.4,89.52,2317.4882129999996
4,1,0.4,0.5,87.25,2269.0055130000005
4,1,0.5,0.6,90.59,2239.9224919999997
4,1,0.6,0.7,87.5,2247.897226
4,1,0.7,0.8,88.71,2224.06856
4,1,0.8,0.9,88.77,2242.050869
4,1,0.9,1.0,87.29,2253.9086070000003
4,1,1.0,1.1,87.54,2244.850149
4,1,1.1,1.2,87.44,2252.489353
4,1,1.2,1.3,90.96,2218.944928
4,1,1.3,1.4,86.94,2240.895116
4,1,1.4,1.5,88.36,2214.632662
4,1,1.5,1.6,88.68,2248.952838
4,1,1.6,1.7,87.4,2240.424613
4,1,1.7,1.8,87.46,2242.81329
4,1,1.8,1.9,89.25,2226.4848970000003
4,1,1.9,2.0,89.3,2213.717533
4,1,2.0,2.1,87.32,2221.810319
4,1,2.1,2.2,90.01,2209.1793829999997
4,1,2.2,2.3,87.43,2243.934504
4,1,2.3,2.4,87.41,2231.9934160000003
4,1,2.4,2.5,87.83,2238.672752
4,1,2.5,2.6,90.7,2206.7611049999996
4,1,2.6,2.7,87.33,2232.411208
4,1,2.7,2.8,89.13,2206.699788
4,1,2.8,2.9,88.22,2251.175087
4,1,2.9,3.0,82.76,2291.5160190000006
4,1,3.0,3.1,90.3,2246.255138
4,1,3.1,3.2,87.17,2246.35508
