mode,physical_gpu,phase,seconds,share_percent
fp8-base,3,rdma_other,0.0,0.0
fp8-base,3,pointwise,0.07664542,2.2146527670444294
fp8-base,3,attention_other,0.000134368,0.0038825341814582776
fp8-base,3,communication_other,0.002571679,0.07430810625475144
fp8-base,3,layout_copy,0.19994011699999997,5.777226262929174
fp8-base,3,memory_ops,0.007989463,0.23085379844156492
fp8-base,3,other,0.19813486700000002,5.7250639561963395
fp8-base,3,concurrent_mixed,0.0,0.0
fp8-base,3,idle,0.660669105,19.089890322070342
fp8-base,3,sage_quantization,0.052277500000000005,1.510547010234469
fp8-base,7,linear_gemm,1.428312046,41.27076640556984
fp8-base,7,vsa,0.801292322,23.15316764039855
fp8-base,7,rdma_barrier,0.00376704,0.10884780277239067
fp8-base,7,rdma_other,0.0,0.0
fp8-base,7,pointwise,0.07734175500000001,2.234773215657535
fp8-base,7,attention_other,0.000160512,0.004637959384185454
fp8-base,7,communication_other,0.001509088,0.0436047700555825
fp8-base,7,layout_copy,0.209086452,6.041507626591416
fp8-base,7,memory_ops,0.008749248,0.2528076210262523
fp8-base,7,other,0.215614901,6.23014574276794
fp8-base,7,concurrent_mixed,0.0,0.0
fp8-base,7,idle,0.66090052,19.09657700824266
fp8-base,7,sage_quantization,0.054098493,1.5631642075336492
fp8-overlap,0,linear_gemm,1.317764206,39.565809086536966
fp8-overlap,0,vsa,0.6596891869999999,19.807137202886494
fp8-overlap,0,rdma_barrier,0.27268699900000004,8.187414481050714
fp8-overlap,0,rdma_other,0.0,0.0
fp8-overlap,0,pointwise,0.078706781,2.3631674442839397
fp8-overlap,0,attention_other,0.00013424,0.004030549765726997
fp8-overlap,0,communication_other,0.002783457,0.08357316715778583
fp8-overlap,0,layout_copy,0.178424005,5.357172463891706
fp8-overlap,0,memory_ops,0.012673222000000001,0.3805129019897663
fp8-overlap,0,other,0.188124606,5.6484325584086985
fp8-overlap,0,concurrent_mixed,0.025290479999999997,0.7593454874785706
fp8-overlap,0,idle,0.5420898710000001,16.276223201445383
fp8-overlap,0,sage_quantization,0.052195965999999996,1.5671814551042484
fp8-overlap,4,linear_gemm,1.2704697779999998,38.145796082249184
fp8-overlap,4,vsa,0.654236989,19.64343521114337
fp8-overlap,4,rdma_barrier,0.32354943100000005,9.714556639735944
fp8-overlap,4,rdma_other,0.0,0.0
fp8-overlap,4,pointwise,0.078815472,2.366430886511194
fp8-overlap,4,attention_other,0.000130368,0.003914293145547506
fp8-overlap,4,communication_other,0.003138083,0.09422079633851216
fp8-overlap,4,layout_copy,0.170192112,5.110010258866082
fp8-overlap,4,memory_ops,0.011978312000000001,0.35964826151225326
fp8-overlap,4,other,0.18648520600000001,5.599209649544479
fp8-overlap,4,concurrent_mixed,0.037481417999999996,1.1253778347662071
fp8-overlap,4,idle,0.5420616680000001,16.275376407680163
fp8-overlap,4,sage_quantization,0.052024183,1.5620236785070651
fp8-overlap,1,linear_gemm,1.3022610620000001,39.100327907922306
fp8-overlap,1,vsa,0.660123208,19.820168663255018
fp8-overlap,1,rdma_barrier,0.29126351899999997,8.74517363133396
fp8-overlap,1,rdma_other,0.0,0.0
fp8-overlap,1,pointwise,0.078712255,2.3633318008797204
fp8-overlap,1,attention_other,0.00013526399999999998,0.00406129531817116
fp8-overlap,1,communication_other,0.00286058,0.08588878165109753
fp8-overlap,1,layout_copy,0.176084013,5.2869143127638525
fp8-overlap,1,memory_ops,0.012619477,0.3788992108607511
fp8-overlap,1,other,0.188918534,5.672270209737691
fp8-overlap,1,concurrent_mixed,0.02962596,0.8895180731334728
fp8-overlap,1,idle,0.53561803,16.081906475980748
fp8-overlap,1,sage_quantization,0.052341118,1.5715396371632084
fp8-overlap,5,linear_gemm,1.254708474,37.67256366162379
fp8-overlap,5,vsa,0.64661692,19.414642993303875
fp8-overlap,5,rdma_barrier,0.33994679,10.206886582197145
fp8-overlap,5,rdma_other,0.0,0.0
